,unique_id,price,weight,process,grind_types,roast,blend,description,arabica_robusta,origin,weight(g),price_per_kg
0,https://www.coffeedesk.pl/product/17602/Espresso-Miesiaca-Autumn-Coffee-Uganda-Great-Lakes-1Kg,139.0,1 kg,Natural,espresso,medium,beans,"Maj rozpoczynamy z nowym espresso miesiąca! Tym razem przedstawiamy ziarno z Ugandy, wypalone w palarni Autumn Coffee Roasters. Kawa palona w średnim stopniu, świetnie sprawdzi się do ekspresu ciśnieniowego i kawiarki. W smaku pojawia się soczysta owocowość wiśni, nuta żurawiny, persymony, wraz ze słodyczą toffi i orzechów laskowych.",100% Arabica,Uganda,1000.0,139.0
1,https://www.coffeedesk.pl/product/17601/Espresso-Miesiaca-Autumn-Coffee-Uganda-Great-Lakes-250G,43.0,250 g,Natural,espresso,medium,beans,"Maj rozpoczynamy z nowym espresso miesiąca! Tym razem przedstawiamy ziarno z Ugandy, wypalone w palarni Autumn Coffee Roasters. Kawa palona w średnim stopniu, świetnie sprawdzi się do ekspresu ciśnieniowego i kawiarki. W smaku pojawia się soczysta owocowość wiśni, nuta żurawiny, persymony, wraz ze słodyczą toffi i orzechów laskowych.",100% Arabica,Uganda,250.0,172.0
2,https://www.coffeedesk.pl/product/115/Johan-And-Nystrom-Espresso-Fairtrade-Fto,79.0,500 g,,espresso,medium,beans,"Flagowa mieszanka ziaren jakości speciality ze szwedzkiej palarni Johan & Nyström. Palona w średnim stopniu, przeznaczona do espresso - doskonale sprawdzi się w ekspresach ciśnieniowych i kawiarkach. 

Na blend składają się organiczne ziarna z Etiopii, Sumatry i Nikaragui. Wspólnie tworzą pełne brzmienia espresso, o delikatnym czekoladowym zabarwieniu i z nutą słodkich owoców. Ziarno z Etiopii zapewnia lekkość i owocowość, natomiast kawa z Sumatry i Niaragui nadaje cięższego, słodkiego charakteru. To niezwykłe espresso, które jest zarówno smaczne, jak i przygotowane w etyczny sposób od samego ziarna kawy.",100% Arabica,None,500.0,158.0
3,https://www.coffeedesk.pl/product/753/Arcaffe-Gorgona-1Kg,99.0,1 kg,,espresso,medium,beans,"Gorgona to nazwa jednej z wysp archipelagu Tuscan, który znajduje się w pobliżu Livorno. Jest to także nazwa nowej mieszanki palarni Arcaffe, która zawiera wysokiej jakości ziarna Arabiki 85% i Robusty 15%. Została stworzona dla tych, którzy preferują bardziej intensywny smak.",85/15,Włochy,1000.0,99.0
4,https://www.coffeedesk.pl/product/754/Arcaffe-Gorgona-250G,32.0,250 g,,espresso,medium,beans,"Gorgona to nazwa jednej z wysp archipelagu Tuscan, który znajduje się w pobliżu Livorno. Jest to także nazwa nowej mieszanki palarni Arcaffe, która zawiera wysokiej jakości ziarna Arabiki 85% i Robusty 15%. Została stworzona dla tych, którzy preferują bardziej intensywny smak.",85/15,Włochy,250.0,128.0
5,https://www.coffeedesk.pl/product/5874/Arcaffe-Kuz-Kawa-Bezkofeinowa,65.0,500 g,,espresso,medium,beans,,100% Arabica,None,500.0,130.0
6,https://www.coffeedesk.pl/product/272/Arcaffe-Margo-1Kg,79.0,1 kg,,espresso,medium,beans,"Arcaffe Margo to wyważona mieszanka ziaren kawy o dużej mocy, ale zarazem delikatnie miękka i kremowa z wyczuwalnymi nutami czekoladowymi.",50/50,None,1000.0,79.0
7,https://www.coffeedesk.pl/product/267/Arcaffe-Meloria-1Kg,99.0,1 kg,,espresso,medium,beans,"Meloria to mieszanka ziaren arabiki (75%) i robusty (25%) stworzona dla tych, którzy preferują intensywny smak.

Kawa przygotowana z tych ziaren będzie posiadać trwałą cremę, pełne body, aromat wanilii i czekoladowy posmak.",75/25,Włochy,1000.0,99.0
8,https://www.coffeedesk.pl/product/268/Arcaffe-Meloria-250G,31.9,250 g,,espresso,medium,beans,"Meloria to mieszanka ziaren arabiki (75%) i robusty (25%) stworzona dla tych, którzy preferują intensywny smak.

Kawa przygotowana z tych ziaren będzie posiadać trwałą cremę, pełne body, aromat wanilii i czekoladowy posmak.",75/25,Włochy,250.0,127.6
9,https://www.coffeedesk.pl/product/269/Arcaffe-Mokacrema-1Kg,125.0,1 kg,,espresso,medium,beans,"Mokacrema to blend kaw ziarnistych jakości speciality: Gwatemali, Salwadoru, Etiopii i Brazylii. Na paczce widnieje certyfikat włoskiego SCA, czyli organizacji skupiającej się na kawach najwyższej jakości.",100% Arabica,None,1000.0,125.0
10,https://www.coffeedesk.pl/product/270/Arcaffe-Mokacrema-250G,36.0,250 g,,espresso,medium,beans,"Mokacrema to blend kaw ziarnistych jakości speciality: Gwatemali, Salwadoru, Etiopii i Brazylii. Na paczce widnieje certyfikat włoskiego SCA, czyli organizacji skupiającej się na kawach najwyższej jakości.",100% Arabica,None,250.0,144.0
11,https://www.coffeedesk.pl/product/3578/Arcaffe-Peru-Fto,75.0,500 g,,espresso,medium,beans,"Peru Fair Trade Organic to ziarna z odległych rejonów Peru, oznaczone certyfikatami CSC oraz Fairtrade.

Organiczna kawa o pełnym body, delikatnej kwasowości i niezwykłych nutach miodu i prażonych migdałów. W posmaku zwieńczona łagodnym smakiem kakao.",100% Arabica,Peru,500.0,150.0
12,https://www.coffeedesk.pl/product/586/Arcaffe-Roma-Puszka,35.0,250 g,,espresso,medium,ground,"Roma to wysokiej jakości słodka mieszanka kaw Arabica, produkowanych ciągle bez zmian (z wyjątkiem czasu wojny) od 1926 roku.

Opakowanie: 250g
Kawa mielona.",100% Arabica,None,250.0,140.0
13,https://www.coffeedesk.pl/product/265/Arcaffe-Roma-1Kg,109.0,1 kg,,espresso,medium,beans,"Roma to najbardziej klasyczna mieszanka z Arcaffe. Produkowana niezmiennie od 1926 (wyłączając czas wojny). Jej nazwa to hołd dla baru Roma, który był pierwszym espresso barem w Livorno skąd pochodzi palarnia.",100% Arabica,None,1000.0,109.0
14,https://www.coffeedesk.pl/product/266/Arcaffe-Roma-250G,29.0,250 g,,espresso,medium,beans,"Roma to najbardziej klasyczna mieszanka z Arcaffe. Produkowana niezmiennie od 1926 (wyłączając czas wojny). Jej nazwa to hołd dla baru Roma, który był pierwszym espresso barem w Livorno skąd pochodzi palarnia.",100% Arabica,Włochy,250.0,116.0
15,https://www.coffeedesk.pl/product/4916/Audun-Coffee-Brazylia-Fazenda-Rainha-Miaki-Espresso-500G,60.0,500 g,Natural,espresso,medium,beans,"Ziarno jakości speciality pochodzące z Brazylii, wypalane przez Mistrza Świata Roasterów 2015, Auduna Sorbottena. Kawa palona w średnim stopniu, przeznaczona do espresso i kawiarek. Charakteryzuje się intensywną czekoladowo-orzechową słodyczą oraz niską kwasowością.",100% Arabica,Brazylia,500.0,120.0
16,https://www.coffeedesk.pl/product/1848/Audun-Coffee-Cuba-Espresso-Blend-1-Kg,120.0,1 kg,Washed,espresso,medium,beans,"Cuba Espresso to mieszanka kaw ziarnistych z Kuby i z Afryki. Wypalana przez Auduna Sorbottena, Mistrza Świata Roasterów z 2015 roku. Gęsta i gładka, w smaku dużo czekoladowej słodyczy i niska kwasowość.",100% Arabica,None,1000.0,120.0
17,https://www.coffeedesk.pl/product/6173/Audun-Coffee-Cuba-Espresso-Blend-500G,62.0,500 g,Washed,espresso,medium,beans,"Cuba Espresso to mieszanka kaw ziarnistych z Kuby i z Afryki. Wypalana przez Auduna Sorbottena, Mistrza Świata Roasterów z 2015 roku. Gęsta i gładka, w smaku dużo czekoladowej słodyczy i niska kwasowość.",100% Arabica,None,500.0,124.0
